"bse_scrip_name","nse_scrip_name","sector","company_name","bse_price","nse_price","bse_volume","nse_volume","sentimeter_score","market_cap_in_cr","pe","book_value","dividend_perc","market_lot","industry_pe","eps","pc","price_by_bookvalue","div_yield_perc","face_value","deliverables_perc","sma_30_50_150_200_bse","sma_30_50_150_200_nse","master_url"
"538351 "," ","MISCELLANEOUS","A F Enterprises","62.65","NA","91","NA","NA","25.06","696.11","7.15","0.00%","1","23.87","0.09","626.50","8.76","-%","10.00",NA,"81.30, 99.55, 218.44, 282.42",", , , ","http://www.moneycontrol.com/india/stockpricequote/miscellaneous/afenterprises/AFE01"
"526985 "," ","FINANCE - LEASING & HIRE PURCHASE","A K S Credits","NA","NA","NA","NA","NA","0.00","-","","0.00%","1","-","-","-","-","-%","",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/akscredits/AKS"
"539300 "," ","MISCELLANEOUS","A K Spintex","36.25","NA","1,000","NA","NA","18.24","23.09","20.63","0.00%","1","20.02","1.57","6.21","1.76","-%","10.00",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/miscellaneous/akspintex/AKS01"
"532046 "," ","TEXTILES - SPINNING - COTTON BLENDED","A P T Yarns","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/aptyarns/APT01"
"530499 "," ","FINANCE - GENERAL","A.K.Capital Services","216.10","NA","98","NA","NA","142.63","5.30","480.80","60.00%","1","23.87","40.78","4.92","0.45","2.78%","10.00",NA,"223.98, 226.24, 259.62, 252.18",", , , ","http://www.moneycontrol.com/india/stockpricequote/financegeneral/akcapitalservices/AKC01"
"533292 ","A2ZINFRA ","POWER - TRANSMISSION & EQUIPMENT","A2Z Infra Engineering ","27.15","27.15","51,646","185,741","100%","334.12","-","67.71","0.00%","1","29.05","-","-","0.40","-%","10.00",NA,"25.26, 24.67, 21.60, 20.41","25.25, 24.67, 21.61, 20.42","http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/a2zinfraengineering/AME02"
"513701 "," ","STEEL - MEDIUM & SMALL","Aachal Alloys","NA","NA","NA","NA","NA","0.00","-","","","","-","-","-","-","-%","",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/aachalalloys/AA"
"531611 "," ","MISCELLANEOUS","Aadhaar Ventures India","0.14","NA","322,201","NA","100%","21.99","-","2.34","0.00%","1","20.71","* -","-","0.06","-%","1.00",NA,"0.11, 0.13, 0.15",", , , ","http://www.moneycontrol.com/india/stockpricequote/miscellaneous/aadhaarventuresindia/PI37"
"530027 "," ","FINANCE - LEASING & HIRE PURCHASE","Aadi Industries","2.31","NA","3","NA","NA","2.31","2.36","-6.05","0.00%","1","30.07","0.98","2.36","-","-%","10.00",NA,"2.83, 3.86, 0.00",", , , ","http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/aadiindustries/AI63"
"531866 "," ","FINANCE - LEASING & HIRE PURCHASE","Aagam Capital","NA","NA","NA","NA","NA","0.00","-","4.17","0.00%","1","23.87","0.26","-","-","-%","10.00",NA,"",", , , ","http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/aagamcapital/PC18"
