"Symbol","Name","Last Trade","Type","Exchange"
"JETAIRWAY.NS","Jet Airways (India) Ltd","511.60","Stock","NSI"
"SAIL.NS","Steel Authority Of India Ltd","47.95","Stock","NSI"
"ASHOKLEY.NS","Ashok Leyland Ltd","92.60","Stock","NSI"
"ARVIND.NS","Arvind Ltd","315.50","Stock","NSI"
"AMBUJACEM.NS","Ambuja Cements Ltd","199.90","Stock","NSI"
"AXISBANK.BO","Axis Bank Ltd","460.00","Stock","BSE"
"ABAN.NS","Aban Offshore Ltd","221.25","Stock","NSI"
"AXISBANK.NS","Axis Bank Ltd","459.80","Stock","NSI"
"JPASSOCIA.NS","Jaiprakash Associates Ltd","12.80","Stock","NSI"
"ASIANPAINT.BO","Asian Paints Ltd.","855.20","Stock","BSE"
"BHARTIARTL.BO","Bharti Airtel Ltd","321.15","Stock","BSE"
"BAJAJ-AUTO-EQ.NS","BAJAJ AUTO LIMITED","2,467.05","Stock","NSI"
"APOLLOTYRE.BO","Apollo Tyres Ltd","165.10","Stock","BSE"
"JETAIRWAYS.BO","Jet Airways (India) Ltd","512.00","Stock","BSE"
"ASHOKLEY.BO","Ashok Leyland Ltd","92.60","Stock","BSE"
"ARVIND.BO","Arvind Ltd","315.30","Stock","BSE"
"ACC.NS","ACC Ltd","1,361.00","Stock","NSI"
"JPASSOCIAT.BO","JAIPRAKASH ASSOCIATES LTD.","12.83","Stock","BSE"
"AUROPHARM.NS","AUROBINDO PHARMA LIMITED","818.45","Stock","NSI"
"TREEHOUSE.BO","TREE HOUSE EDUCATION & ACCESSO","184.00","Stock","BSE"
"AMARAJABAT.BO","AMARA RAJA BATTERIES LTD.","881.90","Stock","BSE"
"BHARTIART.NS","Bharti Airtel Ltd","321.10","Stock","NSI"
"ADANIPORT.NS","ADANI PORTS AND SPECIAL ECONOMI","261.75","Stock","NSI"
"INTELLECT.BO","INTELLECT DESIGN ARENA LIMITED","278.65","Stock","BSE"
"ASIANPAIN.NS","Asian Paints Ltd.","855.05","Stock","NSI"
"OJASASSET.BO","OJAS ASSET RECONSTRUCTION COMP","39.00","Stock","BSE"
"ARCHIES.BO","Archies Ltd","31.55","Stock","BSE"
"AMTEKAUTO.NS","Amtek Auto Ltd","42.25","Stock","NSI"
"ACE.BO","Action Construction Equipment Ltd","46.05","Stock","BSE"
"ABAN.BO","ABAN OFFSHORE LTD.","221.35","Stock","BSE"
"TREEHOUSE.NS","Tree House Education & Accessories Ltd","183.55","Stock","NSI"
"SPARC.NS","Sun Pharma Advanced Research Co Ltd","351.00","Stock","NSI"
"PIPAVAVDOC.BO","PIPAVAV DEFENCE AND OFFSHORE E","66.15","Stock","BSE"
"BALASORE.BO","Balasore Alloys Ltd","20.40","Stock","BSE"
"APOLLOHOSP-EQ.NS","APOLLO HOSPITALS ENTERPRISE LIM","1,370.00","Stock","NSI"
"ANSALBU.BO","Ansal Buildwell Ltd","108.10","Stock","BSE"
"ANDHRABAN.NS","Andhra Bank","68.75","Stock","NSI"
"AKSHOPTFBR.BO","Aksh Optifibre Ltd","18.80","Stock","BSE"
"ADSL.BO","Allied Digital Services Ltd","54.25","Stock","BSE"
"ACC.BO","ACC Ltd","1,362.00","Stock","BSE"
"AARYAGLOBL.BO","AARYA GLOBAL SHARES AND SECURI","1.90","Stock","BSE"
"NATIONALU.NS","National Aluminium Company Limited","40.70","Stock","NSI"
"JVLAGRO.NS","JVL Agro Industries Ltd","20.70","Stock","NSI"
"CLUTCHAUTO-EQ.NS","CLUTCH AUTO LTD.","12.95","Stock","NSI"
"CHOLAFIN.NS","Cholamandalam Investment And Finance Co Ltd","629.55","Stock","NSI"
"AUTOIND.NS","Autoline Industries Ltd","45.00","Stock","NSI"
"ASSAMCO.BO","Assam Petrochemicals Ltd","4.75","Stock","BSE"
"ASAL.NS","Automotive Stampings & Assemblies Ltd","40.50","Stock","NSI"
"ARVINDREM.NS","Arvind Remedies Ltd","6.65","Stock","NSI"
"ARSSINFRA.BO","ARSS Infrastructure Projects Ltd","39.00","Stock","BSE"
"APTECHT.NS","Aptech Ltd","63.30","Stock","NSI"
"APCL.BO","Anjani Synthetics Ltd","216.20","Stock","BSE"
"APARINDS.NS","Apar Industries Ltd","460.05","Stock","NSI"
"AMTEKAUTO.BO","Amtek Auto Ltd","42.35","Stock","BSE"
