"Symbol","Name","Last Trade","Type","Exchange"
"JETAIRWAY.NS","Jet Airways (India) Ltd","562.70","Stock","NSI"
"^DJI","Dow Jones Industrial Average","17,888.35","Index","DJI"
"SAIL.NS","Steel Authority Of India Ltd","47.55","Stock","NSI"
"ASHOKLEY.NS","Ashok Leyland Ltd","92.85","Stock","NSI"
"ARVIND.NS","Arvind Ltd","315.40","Stock","NSI"
"AMBUJACEM.NS","Ambuja Cements Ltd","200.15","Stock","NSI"
"AXISBANK.BO","Axis Bank Ltd","459.20","Stock","BSE"
"ABAN.NS","Aban Offshore Ltd","234.65","Stock","NSI"
"AXISBANK.NS","Axis Bank Ltd","459.50","Stock","NSI"
"JPASSOCIA.NS","Jaiprakash Associates Ltd","12.95","Stock","NSI"
"ASIANPAINT.BO","Asian Paints Ltd.","848.95","Stock","BSE"
"BHARTIARTL.BO","Bharti Airtel Ltd","322.95","Stock","BSE"
"BAJAJ-AUTO-EQ.NS","BAJAJ AUTO LIMITED","2,500.60","Stock","NSI"
"APOLLOTYRE.BO","Apollo Tyres Ltd","164.10","Stock","BSE"
"AAPL","Apple Inc.","117.34","Stock","NMS"
"JETAIRWAYS.BO","Jet Airways (India) Ltd","562.80","Stock","BSE"
"ASHOKLEY.BO","Ashok Leyland Ltd","92.85","Stock","BSE"
"ARVIND.BO","Arvind Ltd","314.70","Stock","BSE"
"ACC.NS","ACC Ltd","1,359.85","Stock","NSI"
"JPASSOCIAT.BO","JAIPRAKASH ASSOCIATES LTD.","12.96","Stock","BSE"
"AUROPHARM.NS","AUROBINDO PHARMA LIMITED","824.10","Stock","NSI"
"AMZN","Amazon.com, Inc.","679.06","Stock","NMS"
"ACN","Accenture plc","108.13","Stock","NYQ"
"TREEHOUSE.BO","TREE HOUSE EDUCATION & ACCESSO","184.00","Stock","BSE"
"GOOGL","Alphabet Inc.","783.79","Stock","NMS"
"AMARAJABAT.BO","AMARA RAJA BATTERIES LTD.","877.65","Stock","BSE"
"BHARTIART.NS","Bharti Airtel Ltd","322.90","Stock","NSI"
"ADANIPORT.NS","ADANI PORTS AND SPECIAL ECONOMI","261.40","Stock","NSI"
"^AORD","ALL ORDINARIES","5,304.70","Index","ASX"
